,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
330,cayenne,40,GF,1572934892,94,4.9371,-52.3259,75.2,5.48
331,puerto madero,40,AR,1572934898,88,-34.6104,-58.3623,64.4,6.93
332,saint-pierre,75,FR,1572934773,93,48.9455,4.2446,46.99,10.29
333,comodoro rivadavia,0,AR,1572934941,34,-45.8654,-67.4808,53.6,36.91
334,solnechnyy,100,RU,1572934440,54,50.7238,136.6401,31.36,3.78
335,pevek,99,RU,1572934347,90,69.7028,170.2747,12.44,2.04
336,mezen,0,RU,1572934182,80,65.8522,44.24,25.02,12.17
337,norman wells,75,CA,1572935055,79,65.2824,-126.8328,19.4,9.17
338,bonfim,57,GY,1572934892,77,3.3614,-59.8428,78.23,8.84
339,saint-georges,100,CA,1572935216,62,46.123,-70.672,42.01,4.0
340,aubagne,0,FR,1572934806,81,43.2924,5.5703,54.0,6.93
341,dibulla,100,CO,1572934933,80,11.2717,-73.3079,82.14,25.12
342,lima,40,PE,1572934945,88,-12.0622,-77.0366,62.6,6.93
343,general jose eduvigis diaz,75,PY,1572934901,94,-27.1667,-58.4167,71.6,8.05
344,simao,75,CN,1572935216,55,22.7618,100.7911,78.09,2.8
345,adra,20,ES,1572934509,77,36.7488,-3.0204,59.0,1.12
346,namatanai,100,PG,1572934448,91,-3.6642,152.4407,77.24,19.93
347,najran,0,SA,1572934147,33,17.544,44.2247,71.6,10.51
348,walvis bay,90,NA,1572934891,93,-22.9544,14.5075,64.99,10.29
349,okhotsk,89,RU,1572934352,88,59.3644,143.2411,24.77,9.91
350,mannargudi,13,IN,1572934321,56,10.6673,79.4444,86.19,6.02
351,dingle,71,PH,1572934369,72,11.0001,122.6718,85.36,11.86
352,husavik,5,CA,1572935050,78,50.5623,-96.9949,16.0,5.99
353,oranjemund,100,ZA,1572934891,83,-28.552,16.4284,61.44,6.69
354,san patricio,89,PY,1572934901,97,-26.9767,-56.8274,71.34,3.11
355,khani,0,GE,1572934198,41,41.9563,42.9566,57.2,19.46
356,burnie,100,AU,1572934445,62,-41.0524,145.9064,57.99,8.99
357,samarkand,0,UZ,1572934163,37,39.6548,66.9758,41.0,6.93
358,sayansk,50,RU,1572934442,57,54.1123,102.1785,28.86,4.16
359,valsamata,20,GR,1572934153,100,38.1667,20.6,64.0,4.7
360,saint-joseph,90,FR,1572935215,87,43.5562,6.9715,57.2,1.12
361,marsh harbour,100,BS,1572934920,81,26.5383,-77.0611,79.47,18.72
362,sao filipe,100,CV,1572934892,79,14.8961,-24.4956,79.11,24.18
363,kavaratti,40,IN,1572934326,70,10.5669,72.642,86.0,11.41
364,san cristobal,53,HN,1572934924,92,14.6765,-86.9185,66.06,2.66
365,margate,75,AU,1572934458,31,-43.0274,147.2623,60.8,13.87
366,matara,20,BI,1572934150,82,-3.4812,29.4807,68.0,7.45
367,blind river,90,CA,1572935045,93,46.1884,-82.9564,41.0,3.29
368,puerto rico,100,CO,1572934931,98,1.9094,-75.1531,58.22,2.53
369,santa isabel do rio negro,84,BR,1572934930,89,-0.4145,-65.0168,74.87,1.95
370,erenhot,100,CN,1572934190,60,43.6511,111.9704,42.36,8.75
371,tecoanapa,40,MX,1572934919,94,16.9875,-99.2589,80.6,2.06
372,waterloo,33,SL,1572934448,79,8.339,-13.0696,80.63,4.0
373,bay roberts,5,CA,1572935045,93,47.5759,-53.2834,37.99,8.05
374,leh,0,IN,1572934169,36,34.1642,77.5848,23.39,2.84
375,george,5,MW,1572934297,59,-15.3531,34.8333,74.09,5.48
376,cooma,7,AU,1572934353,33,-36.2357,149.1264,57.2,6.93
377,yeppoon,0,AU,1572934451,10,-23.1349,150.7437,95.0,17.22
378,ucluelet,75,CA,1572935056,92,48.9414,-125.5491,50.0,1.72
379,saldanha,86,PT,1572935285,86,41.4184,-6.5524,47.45,7.81
380,tekirdag,0,TR,1572934157,88,40.978,27.5085,64.0,9.17
381,kamenka,24,MD,1572934200,79,48.0322,28.7042,53.01,4.63
382,naze,75,NG,1572934194,94,5.4333,7.0667,75.2,11.41
383,luganville,100,VU,1572934451,93,-15.5122,167.1784,74.52,4.61
384,portland,75,US,1572934992,57,43.661,-70.2549,51.01,8.05
385,hayden,1,US,1572935035,92,47.766,-116.7866,39.2,0.92
386,xai-xai,98,MZ,1572934160,74,-25.0445,33.6407,74.45,8.75
387,suluq,0,LY,1572934142,70,31.6682,20.2521,73.03,1.81
388,old town,1,US,1572934962,86,38.9805,-76.9329,48.2,6.29
389,aseri,100,EE,1572934196,70,59.4521,26.8662,37.79,22.44
390,laje,58,BR,1572934907,99,-13.181,-39.4223,67.47,1.74
391,ocotepec,89,MX,1572934918,95,19.5564,-97.6489,51.57,2.53
392,matveyev kurgan,32,RU,1572934182,43,47.5685,38.8619,50.76,12.57
393,safford,1,US,1572935022,26,32.834,-109.7076,55.4,0.89
394,vargashi,100,RU,1572934338,83,55.3556,65.8467,29.02,15.37
395,vila velha,75,BR,1572934897,74,-3.7125,-38.6045,80.6,13.87
396,micheweni,80,TZ,1572934149,77,-4.9667,39.8333,80.16,11.81
397,maniwaki,100,CA,1572935053,94,46.381,-75.9842,40.45,8.55
398,escarcega,37,MX,1572934918,95,18.6089,-90.7455,72.22,4.36
399,kedrovyy,0,RU,1572934349,67,56.1667,91.8167,23.0,4.47
400,ossora,100,RU,1572934451,99,59.2353,163.0719,32.58,6.24
401,berlevag,75,NO,1572934283,74,70.8578,29.0864,35.6,20.8
402,broken hill,0,AU,1572934192,17,-31.9651,141.4511,71.6,3.36
403,yumen,14,CN,1572934351,24,40.2917,97.0449,54.17,4.7
404,yumbe,57,UG,1572934146,78,3.4674,31.2459,73.68,2.84
405,pucallpa,40,PE,1572934934,88,-8.3821,-74.5388,77.0,2.24
406,sambava,56,MG,1572934303,56,-14.2667,50.1667,83.27,4.59
407,along,54,IN,1572934175,62,28.1698,94.7985,60.23,4.88
408,san clemente,90,US,1572935027,76,33.427,-117.6125,61.0,3.36
409,saint-prosper,100,CA,1572935058,62,46.2117,-70.4811,42.01,4.0
410,the pas,1,CA,1572935060,84,53.8224,-101.2406,6.8,5.82
411,gimli,5,CA,1572935050,78,50.6323,-96.9882,16.0,5.99
412,aklavik,20,CA,1572935044,85,68.2183,-135.0136,10.4,4.14
413,khaniotis,0,GR,1572934155,84,39.9991,23.58,62.01,1.99
414,codrington,63,AU,1572934464,43,-28.9484,153.2428,73.4,19.46
415,arcachon,96,FR,1572934807,87,44.6539,-1.1756,51.8,9.17
416,kupang,20,ID,1572934442,24,-10.1633,123.6018,95.0,13.87
417,sabang,78,PH,1572934377,73,13.7975,121.1096,88.0,4.0
418,teya,5,MX,1572934915,94,21.0486,-89.0739,80.01,6.93
419,baykit,54,RU,1572934342,90,61.6784,96.3854,6.41,2.84
420,jackson,20,US,1572935042,79,43.48,-110.7619,39.2,2.44
421,aasiaat,100,GL,1572934898,63,68.7098,-52.8699,28.9,15.28
422,okakarara,58,NA,1572934891,18,-20.5904,17.4582,76.32,5.26
423,tual,95,ID,1572934180,74,-5.6667,132.75,81.64,11.92
424,yulara,16,AU,1572935066,8,-25.2411,130.9869,87.8,10.29
425,yining,0,CN,1572934389,39,29.0361,114.5636,70.51,7.81
426,hualmay,47,PE,1572934945,90,-11.0968,-77.613,62.32,14.65
427,dhidhdhoo,30,MV,1572934336,73,6.8833,73.1,82.82,9.98
428,vila do maio,0,CV,1572934892,69,15.1333,-23.2167,80.6,20.8
429,hammerfest,75,NO,1572934283,84,70.6634,23.6821,32.0,13.87
430,fairbanks,1,US,1572935043,84,64.8378,-147.7167,12.99,3.36
431,tommot,100,RU,1572934344,91,58.9685,126.2669,5.3,7.63
432,atar,66,MR,1572934485,32,20.5183,-13.0544,75.55,10.38
433,madison,1,US,1572935019,80,43.0748,-89.3838,35.01,6.93
434,aktau,40,KZ,1572934154,52,43.6521,51.158,41.0,22.37
435,namibe,99,AO,1572934891,88,-15.1902,12.1531,73.93,9.6
436,kalivia,20,GR,1572934154,73,35.0583,25.2272,75.99,17.22
437,santa maria,0,BR,1572934910,78,-16.0172,-48.0132,71.6,3.36
438,bela,3,PK,1572934163,44,26.2268,66.3113,79.78,5.75
439,bhatkal,6,IN,1572934174,66,13.9667,74.5667,84.21,7.0
440,sarmizegetusa,36,RO,1572934215,80,45.5153,22.7825,50.67,3.8
441,brejo santo,20,BR,1572934897,61,-7.491,-38.986,80.6,4.16
442,tongliao,2,CN,1572934190,19,43.6125,122.2653,42.76,12.3
443,sibolga,81,ID,1572934311,77,1.737,98.7846,79.04,7.02
444,vardo,1,US,1572934963,82,39.6165,-77.7392,48.99,6.93
445,bilibino,100,RU,1572934353,83,68.055,166.4449,8.95,3.22
446,iskateley,80,RU,1572934294,91,67.6803,53.1512,28.28,19.01
447,minbu,95,MM,1572934336,69,20.1838,94.8767,85.85,1.32
448,hovd,0,NO,1572935257,78,63.8339,10.6972,28.99,4.7
449,ode,3,NG,1572934483,97,8.45,4.3167,70.78,3.15
450,surt,0,LY,1572934192,71,31.2089,16.5887,73.68,2.19
